83	47.25	45.73	44.31	44.90	48.98	46.97	44.14	34.28
84	47.07	45.57	44.15	44.71	48.65	46.73	43.86	34.31
85	46.89	45.42	43.99	44.53	48.34	46.49	43.60	34.34
86	46.72	45.27	43.84	44.34	48.03	46.26	43.36	34.36
87	46.56	45.14	43.71	44.16	47.74	46.05	43.13	34.37
88	46.40	45.01	43.58	43.98	47.46	45.84	42.91	34.39
89	46.24	44.88	43.46	43.82	47.19	45.64	42.70	34.40
90	46.08	44.77	43.35	43.66	46.92	45.46	42.50	34.40
91	45.93	44.65	43.24	43.50	46.67	45.27	42.31	34.40
92	45.78	44.54	43.14	43.34	46.43	45.10	42.14	34.41
93	45.63	44.43	43.04	43.19	46.19	44.93	41.97	34.40
94	45.50	44.34	42.96	43.04	45.96	44.77	41.81	34.40
95	45.35	44.25	42.87	42.90	45.74	44.61	41.66	34.40
96	45.22	44.16	42.79	42.77	45.52	44.47	41.52	34.39
97	45.08	44.07	42.71	42.63	45.32	44.32	41.38	34.39
98	44.96	43.99	42.64	42.50	45.12	44.19	41.25	34.37
99	44.83	43.91	42.57	42.37	44.93	44.06	41.14	34.36
100	44.71	43.83	42.51	42.24	44.74	43.93	41.02	34.35
101	44.59	43.76	42.44	42.13	44.57	43.81	40.91	34.34
102	44.47	43.70	42.42	42.01	44.40	43.77	40.81	34.32
103	44.36	44.02	42.88	41.90	44.25	44.57	40.73	34.31
104	44.25	44.79	43.87	41.80	44.24	46.04	40.74	34.29
105	44.19	45.85	45.17	41.75	44.42	47.68	40.90	34.28
106	44.18	47.04	46.57	41.76	44.78	49.33	41.22	34.26
107	44.24	48.27	48.01	41.84	45.25	50.87	41.68	34.24
108	44.38	49.48	49.39	42.00	45.82	52.31	42.24	34.23
109	44.58	50.65	50.73	42.22	46.45	53.64	42.88	34.21
110	44.83	51.76	51.99	42.50	47.12	54.86	43.59	34.20
111	45.14	52.82	53.18	42.82	47.81	55.98	44.33	34.19
112	45.47	53.79	54.28	43.18	48.51	57.03	45.10	34.18
113	45.84	54.72	55.32	43.57	49.22	57.99	45.88	34.18
114	46.22	55.58	56.28	43.97	49.94	58.88	46.66	34.17
115	46.62	56.38	57.18	44.39	50.64	59.73	47.45	34.18
116	47.03	57.13	58.01	44.82	51.34	60.51	48.21	34.18
117	47.44	57.84	58.78	45.25	52.04	61.25	48.96	34.19
118	47.86	58.49	59.50	45.69	52.72	61.95	49.69	34.21
119	48.28	59.11	60.17	46.13	53.38	62.61	50.41	34.22
120	48.70	59.69	60.80	46.56	54.04	63.24	51.09	34.25
121	49.13	60.23	61.37	46.99	54.68	63.82	51.76	34.28
122	49.53	60.74	61.91	47.41	55.31	64.40	52.40	34.31
123	49.95	61.23	62.42	47.83	55.92	64.94	53.01	34.35
124	50.36	61.68	62.89	48.25	56.52	65.45	53.61	34.40
125	50.76	62.11	63.33	48.65	57.10	65.95	54.18	34.45
126	51.15	62.52	63.74	49.05	57.67	66.42	54.73	34.51
127	51.55	62.91	64.13	49.44	58.22	66.87	55.25	34.57
128	51.93	63.28	64.50	49.82	58.75	67.30	55.75	34.64
129	52.31	63.63	64.81	50.18	59.27	67.73	56.20	34.70
130	52.68	63.96	65.15	50.56	59.77	68.12	56.66	34.78
131	53.05	64.29	65.47	50.92	60.27	68.51	57.11	34.86
132	53.41	64.59	65.77	51.28	60.74	68.87	57.54	34.96
133	53.76	64.88	66.04	51.62	61.21	69.23	57.94	35.05
134	54.11	65.17	66.31	51.96	61.65	69.58	58.32	35.15
135	54.45	65.44	66.56	52.29	62.10	69.91	58.69	35.25
136	54.78	65.70	66.79	52.61	62.52	70.23	59.05	35.35
137	55.12	65.95	67.02	52.92	62.93	70.55	59.39	35.46
138	55.44	66.19	67.24	53.23	63.33	70.84	59.71	35.58
139	55.76	66.42	67.45	53.54	63.72	71.13	60.03	35.69
140	56.07	66.65	67.65	53.83	64.09	71.41	60.32	35.81
141	56.38	66.87	67.83	54.12	64.46	71.68	60.60	35.92
142	56.67	67.08	68.01	54.40	64.81	71.93	60.87	36.04
143	56.98	67.29	68.19	54.67	65.15	72.17	61.13	36.16
144	57.26	67.49	68.36	54.94	65.48	72.43	61.38	36.29
145	57.54	67.69	68.52	55.20	65.81	72.66	61.62	36.41
146	57.82	67.88	68.67	55.46	66.12	72.89	61.85	36.54
147	58.09	68.06	68.82	55.70	66.43	73.11	62.07	36.66
148	58.37	68.24	68.96	55.95	66.72	73.33	62.28	36.79
149	58.63	68.41	69.11	56.19	67.01	73.53	62.48	36.92
150	58.89	68.59	69.25	56.42	67.29	73.73	62.68	37.05
