83	41.66	39.46	44.81	29.82	44.20	43.37	46.45	40.44
84	41.76	39.53	44.89	29.91	44.28	43.45	46.52	40.52
85	41.85	39.61	44.97	30.00	44.36	43.52	46.59	40.60
86	41.94	39.69	45.04	30.09	44.44	43.59	46.66	40.67
87	42.03	39.76	45.11	30.19	44.52	43.66	46.73	40.74
88	42.12	39.85	45.19	30.27	44.61	43.73	46.80	40.82
89	42.21	39.92	45.25	30.36	44.69	43.81	46.87	40.89
90	42.29	40.00	45.33	30.45	44.77	43.88	46.94	40.96
91	42.38	40.07	45.40	30.53	44.85	43.95	47.01	41.04
92	42.46	40.14	45.48	30.62	44.92	44.02	47.08	41.11
93	42.55	40.22	45.55	30.71	45.00	44.09	47.15	41.19
94	42.63	40.29	45.62	30.79	45.07	44.16	47.22	41.26
95	42.71	40.36	45.68	30.87	45.15	44.23	47.28	41.33
96	42.79	40.43	45.75	30.96	45.22	44.29	47.35	41.40
97	42.88	40.50	45.82	31.04	45.30	44.36	47.42	41.47
98	42.95	40.57	45.89	31.12	45.37	44.43	47.49	41.54
99	43.04	40.64	45.96	31.21	45.44	44.50	47.55	41.61
100	43.11	40.71	46.02	31.28	45.52	44.56	47.62	41.68
101	43.19	40.77	46.09	31.37	45.59	44.63	47.68	41.75
102	43.27	40.85	46.16	31.45	45.66	44.69	47.75	41.82
103	43.34	40.91	46.23	31.53	45.73	44.76	47.81	41.89
104	43.42	40.98	46.29	31.60	45.80	44.82	47.88	41.96
105	43.49	41.05	46.36	31.68	45.87	44.89	47.94	42.02
106	43.56	41.11	46.43	31.76	45.94	44.95	48.01	42.09
107	43.63	41.18	46.49	31.85	46.01	45.01	48.07	42.17
108	43.70	41.24	46.55	31.92	46.07	45.08	48.13	42.23
109	43.77	41.30	46.62	31.99	46.14	45.14	48.19	42.29
110	43.85	41.37	46.68	32.07	46.20	45.20	48.26	42.37
111	43.92	41.43	46.74	32.15	46.28	45.26	48.32	42.43
112	43.99	41.50	46.81	32.22	46.34	45.33	48.38	42.50
113	44.06	41.56	46.86	32.30	46.41	45.39	48.44	42.57
114	44.13	41.62	46.93	32.37	46.47	45.45	48.50	42.63
115	44.19	41.68	46.99	32.45	46.53	45.51	48.56	42.70
116	44.26	41.75	47.05	32.52	46.60	45.57	48.62	42.76
117	44.33	41.81	47.11	32.60	46.66	45.63	48.68	42.83
118	44.39	41.87	47.17	32.67	46.72	45.68	48.74	42.89
119	44.46	41.93	47.23	32.74	46.79	45.75	48.80	42.96
120	44.52	41.99	47.29	32.81	46.85	45.80	48.86	43.02
121	44.58	42.04	47.35	32.88	46.91	45.86	48.92	43.08
122	44.65	42.10	47.40	32.95	46.97	45.92	48.97	43.14
123	44.71	42.16	47.47	33.02	47.03	45.98	49.03	43.21
124	44.77	42.22	47.52	33.09	47.09	46.03	49.09	43.27
125	44.83	42.28	47.58	33.16	47.15	46.09	49.14	43.33
126	44.89	42.34	47.64	33.23	47.21	46.15	49.20	43.39
127	44.96	42.40	47.70	33.30	47.27	46.21	49.26	43.46
128	45.02	42.45	47.75	33.36	47.33	46.26	49.32	43.51
129	45.07	42.51	47.81	33.43	47.39	46.32	49.38	43.57
130	45.13	42.57	47.87	33.50	47.45	46.38	49.44	43.64
131	45.19	42.62	47.93	33.57	47.50	46.43	49.49	43.70
132	45.25	42.68	47.98	33.63	47.56	46.49	49.55	43.76
133	45.30	42.73	48.03	33.70	47.62	46.54	49.60	43.81
134	45.36	42.79	48.09	33.76	47.68	46.60	49.65	43.87
135	45.42	42.84	48.14	33.82	47.74	46.65	49.71	43.93
136	45.48	42.90	48.19	33.89	47.79	46.71	49.76	43.99
137	45.54	42.95	48.25	33.96	47.85	46.76	49.82	44.05
138	45.59	43.01	48.30	34.02	47.91	46.82	49.87	44.11
139	45.65	43.06	48.35	34.09	47.96	46.87	49.92	44.17
140	45.71	43.11	48.40	34.14	48.01	46.92	49.97	44.22
141	45.76	43.16	48.46	34.21	48.07	46.97	50.02	44.28
142	45.81	43.22	48.51	34.27	48.13	47.03	50.08	44.33
143	45.87	43.27	48.56	34.33	48.18	47.08	50.12	44.39
144	45.92	43.32	48.61	34.39	48.23	47.13	50.18	44.44
145	45.97	43.37	48.66	34.46	48.28	47.18	50.23	44.50
146	46.02	43.41	48.71	34.52	48.33	47.23	50.28	44.56
147	46.08	43.47	48.76	34.58	48.39	47.29	50.33	44.61
148	46.14	43.52	48.81	34.64	48.44	47.34	50.38	44.67
149	46.19	43.57	48.86	34.69	48.49	47.38	50.42	44.72
150	46.24	43.62	48.91	34.75	48.55	47.43	50.47	44.77
151	46.29	43.66	48.96	34.81	48.59	47.49	50.52	44.83
152	46.34	43.71	49.01	34.87	48.64	47.54	50.57	44.88
153	46.40	43.76	49.06	34.92	48.70	47.58	50.62	44.93
154	46.45	43.81	49.11	34.98	48.75	47.63	50.67	44.99
155	46.50	43.85	49.16	35.04	48.80	47.68	50.71	45.04
